,Model,Structure,Learning_rate,Batch_size,Epochs,Optimizer,Activation,Cost,Accuracy
0,4,"[120, 96, 74, 52, 30, 8]",0.01,64,50,Adamax,selu,1.9004924297332764,0.4612500071525574
1,0,"[120, 92, 64, 36, 8]",0.01,32,50,Adamax,softsign,1.762935757637024,0.45625001192092896
2,1,"[120, 90, 60, 20, 8]",0.01,64,100,Adamax,elu,2.519350290298462,0.44999998807907104
3,1,"[120, 90, 60, 20, 8]",0.01,64,100,Adamax,selu,2.5712194442749023,0.44749999046325684
4,4,"[120, 96, 74, 52, 30, 8]",0.01,64,50,Adamax,elu,1.7546077966690063,0.4449999928474426
5,0,"[120, 92, 64, 36, 8]",0.01,32,50,Adamax,elu,1.9994877576828003,0.4412499964237213
6,5,"[120, 100, 80, 40, 20, 8]",0.01,32,50,Adamax,selu,2.042675018310547,0.4412499964237213
7,1,"[120, 90, 60, 20, 8]",0.01,64,50,Adamax,elu,1.7124106884002686,0.4399999976158142
8,1,"[120, 90, 60, 20, 8]",0.01,64,100,Adamax,softsign,1.9738240242004395,0.4399999976158142
9,6,"[120, 150, 100, 50, 20, 8]",0.01,64,100,Adamax,elu,4.388188362121582,0.4375
10,6,"[120, 150, 100, 50, 20, 8]",0.01,64,100,Adamax,selu,4.635464191436768,0.4375
11,7,"[120, 140, 100, 75, 30, 8]",0.01,64,100,Adamax,softsign,2.84562349319458,0.4362500011920929
12,0,"[120, 92, 64, 36, 8]",0.01,12,50,Adamax,softsign,1.9499109983444214,0.4350000023841858
13,6,"[120, 150, 100, 50, 20, 8]",0.01,64,50,Adamax,elu,1.7863229513168335,0.4350000023841858
14,0,"[120, 92, 64, 36, 8]",0.01,64,50,Adamax,elu,1.7867910861968994,0.4350000023841858
15,2,"[120, 150, 100, 50, 8]",0.01,32,50,Adamax,softsign,2.0034267902374268,0.4350000023841858
16,1,"[120, 90, 60, 20, 8]",0.01,32,50,Adamax,softsign,1.7126084566116333,0.4325000047683716
17,7,"[120, 140, 100, 75, 30, 8]",0.01,32,100,Adamax,softsign,3.957207679748535,0.4312500059604645
18,1,"[120, 90, 60, 20, 8]",0.01,64,100,Adamax,tanh,2.066624164581299,0.4312500059604645
19,2,"[120, 150, 100, 50, 8]",0.01,64,50,Adamax,elu,2.255375385284424,0.4300000071525574
20,4,"[120, 96, 74, 52, 30, 8]",0.01,64,100,Adamax,selu,3.661271572113037,0.4300000071525574
21,6,"[120, 150, 100, 50, 20, 8]",0.01,12,100,Adamax,selu,7.3518500328063965,0.4300000071525574
22,3,"[120, 140, 70, 30, 8]",0.01,64,100,Adamax,tanh,2.705444097518921,0.42875000834465027
23,1,"[120, 90, 60, 20, 8]",0.01,32,50,Adamax,elu,2.017799139022827,0.42875000834465027
24,5,"[120, 100, 80, 40, 20, 8]",0.01,64,100,Adamax,softsign,1.9890419244766235,0.42750000953674316
25,6,"[120, 150, 100, 50, 20, 8]",0.01,64,50,Adamax,tanh,1.6806228160858154,0.42750000953674316
26,5,"[120, 100, 80, 40, 20, 8]",0.01,64,50,Adamax,elu,1.6952720880508423,0.42750000953674316
27,4,"[120, 96, 74, 52, 30, 8]",0.01,64,50,Adamax,softsign,1.6088244915008545,0.42750000953674316
28,4,"[120, 96, 74, 52, 30, 8]",0.01,64,100,Adamax,elu,3.621246337890625,0.42750000953674316
29,6,"[120, 150, 100, 50, 20, 8]",0.01,32,50,Adamax,elu,2.350853443145752,0.42625001072883606
30,2,"[120, 150, 100, 50, 8]",0.01,12,50,Adamax,softsign,2.5054781436920166,0.42625001072883606
31,2,"[120, 150, 100, 50, 8]",0.01,64,50,Adamax,selu,2.251601219177246,0.42625001072883606
32,2,"[120, 150, 100, 50, 8]",0.01,32,100,Adamax,softsign,3.717421054840088,0.42625001072883606
33,1,"[120, 90, 60, 20, 8]",0.01,32,50,Adamax,selu,1.9889214038848877,0.42625001072883606
34,0,"[120, 92, 64, 36, 8]",0.01,64,50,Adamax,tanh,1.6306670904159546,0.42500001192092896
35,5,"[120, 100, 80, 40, 20, 8]",0.01,12,50,Adamax,softsign,1.9165366888046265,0.42375001311302185
36,1,"[120, 90, 60, 20, 8]",0.01,12,50,Adamax,softsign,1.9334486722946167,0.42375001311302185
37,2,"[120, 150, 100, 50, 8]",0.01,64,100,Adamax,elu,5.1247992515563965,0.42375001311302185
38,3,"[120, 140, 70, 30, 8]",0.01,64,50,Adamax,elu,1.8806605339050293,0.42375001311302185
39,7,"[120, 140, 100, 75, 30, 8]",0.01,64,50,Adamax,elu,2.0277926921844482,0.42375001311302185
40,0,"[120, 92, 64, 36, 8]",0.01,64,100,Adamax,softsign,2.2346527576446533,0.42250001430511475
41,0,"[120, 92, 64, 36, 8]",0.01,64,100,Adamax,tanh,2.3085572719573975,0.42250001430511475
42,1,"[120, 90, 60, 20, 8]",0.01,12,50,Adamax,selu,2.422053575515747,0.42250001430511475
43,2,"[120, 150, 100, 50, 8]",0.01,32,50,Adamax,elu,2.7568674087524414,0.42250001430511475
44,6,"[120, 150, 100, 50, 20, 8]",0.01,64,50,Adamax,softsign,1.6114397048950195,0.42124998569488525
